element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
1,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
1,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
2,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
2,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
3,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
3,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
4,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
4,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
5,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
5,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
6,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
6,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
7,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
7,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
8,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
8,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
9,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
9,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
10,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
10,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
11,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
11,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
12,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
12,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
13,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
13,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
14,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
14,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
15,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
15,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
16,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
16,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
17,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
17,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
18,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
18,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
19,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
19,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
20,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
20,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
21,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
21,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
22,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
22,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
23,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
23,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
24,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
24,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
25,0.066,WL_Ang45_Q1,LY,WL_Ang45_Q1,Deck Elements,6.0
25,0.032,WL_Ang45_Q1,LX,WL_Ang45_Q1,Deck Elements,6.0
