element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
36,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
37,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
37,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
38,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
38,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
39,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
39,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
40,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
40,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
41,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
41,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
42,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
42,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
43,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
43,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
44,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
44,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
45,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
45,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
46,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
46,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
47,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
47,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
48,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
48,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
49,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
49,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
50,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
50,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
51,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
51,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
52,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
52,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
53,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
53,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
54,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
54,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
55,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
55,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
56,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
