element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
1,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
1,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
2,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
2,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
3,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
3,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
4,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
4,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
5,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
5,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
6,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
6,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
7,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
7,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
8,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
8,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
9,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
9,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
10,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
10,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
11,-0.034,WL_Ang60_Q4,LY,WL_Ang60_Q4,Deck Elements,6.0
11,0.038,WL_Ang60_Q4,LX,WL_Ang60_Q4,Deck Elements,6.0
